ⲧⲁⲣⲭⲏ	ⲧ|ⲁⲣⲭⲏ
ⲁϥⲉⲣⲉⲡⲓⲧⲓⲙⲁⲛ	ⲁ|ϥ|ⲉⲣⲉⲡⲓⲧⲓⲙⲁⲛ
ⲛⲁϥ	ⲛⲁ|ϥ
ⲛϫⲉⲓⲏⲥⲟⲩⲥ	ⲛϫⲉ|ⲓⲏⲥⲟⲩⲥ
ⲉϥϫⲱ	ⲉ|ϥ|ϫⲱ
ⲙⲙⲟⲥ	ⲙⲙⲟ|ⲥ
ϫⲉⲑⲱⲙ	ϫⲉ|ⲑⲱⲙ
ⲛⲣⲱⲕ	ⲛ|ⲣⲱ|ⲕ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁⲙⲟⲩ	ⲁⲙⲟⲩ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲛϧⲏⲧϥ	ⲛϧⲏⲧ|ϥ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁϥϣⲧⲉⲣⲑⲱⲣϥ	ⲁ|ϥ|ϣⲧⲉⲣⲑⲱⲣ|ϥ
ⲛϫⲉⲡⲓⲡⲛⲉⲩⲙⲁ	ⲛϫⲉ|ⲡⲓ|ⲡⲛⲉⲩⲙⲁ
ⲛⲁⲕⲁⲑⲁⲣⲧⲟⲛ	ⲛ|ⲁⲕⲁⲑⲁⲣⲧⲟⲛ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁϥⲱϣ	ⲁ|ϥ|ⲱϣ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϧⲉⲛⲟⲩⲛⲓϣϯ	ϧⲉⲛ|ⲟⲩ|ⲛⲓϣϯ
ⲛϧⲣⲱⲟⲩ	ⲛ|ϧⲣⲱⲟⲩ
ⲁϥⲓ	ⲁ|ϥ|ⲓ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϩⲓⲱⲧϥ	ϩⲓⲱⲧ|ϥ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁⲩⲉⲣϩⲟϯ	ⲁ|ⲩ|ⲉⲣϩⲟϯ
ⲧⲏⲣⲟⲩ	ⲧⲏⲣ|ⲟⲩ
ϩⲱⲥⲧⲉ	ϩⲱⲥⲧⲉ
ⲛⲧⲟⲩⲕⲱϯ	ⲛⲧ|ⲟⲩ|ⲕⲱϯ
ⲛⲉⲛⲛⲟⲩⲉⲣⲏⲩ	ⲛⲉⲛ|ⲛⲟⲩ|ⲉⲣⲏⲩ
ⲉϥϫⲱ	ⲉ|ϥ|ϫⲱ
ⲙⲙⲟⲥ	ⲙⲙⲟ|ⲥ
ϫⲉⲟⲩ	ϫⲉ|ⲟⲩ
ⲡⲉ	ⲡⲉ
ⲡϩⲁⲓ	ⲡϩⲁⲓ
ⲟⲩⲥⲃⲱ	ⲟⲩ|ⲥⲃⲱ
ⲙⲃⲉⲣⲓ	ⲙ|ⲃⲉⲣⲓ
ⲡⲉ	ⲡⲉ
ϫⲉϧⲉⲛⲟⲩⲉⲣϣⲓϣⲓ	ϫⲉ|ϧⲉⲛ|ⲟⲩ|ⲉⲣϣⲓϣⲓ
ϥⲟⲩⲁϩⲥⲁϩⲛⲓ	ϥ|ⲟⲩⲁϩⲥⲁϩⲛⲓ
ⲛⲛⲓⲡⲛⲉⲩⲙⲁ	ⲛ|ⲛⲓ|ⲡⲛⲉⲩⲙⲁ
ⲛⲁⲕⲁⲑⲁⲣⲧⲟⲛ	ⲛ|ⲁⲕⲁⲑⲁⲣⲧⲟⲛ
ⲥⲉⲥⲱⲧⲉⲙ	ⲥⲉ|ⲥⲱⲧⲉⲙ
ⲛⲁϥ	ⲛⲁ|ϥ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁⲧⲉϥⲥⲙⲏ	ⲁ|ⲧⲉϥ|ⲥⲙⲏ
ⲥⲱⲣ	ⲥⲱⲣ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϧⲉⲛϯⲡⲉⲣⲓⲭⲱⲣⲟⲥ	ϧⲉⲛ|ϯ|ⲡⲉⲣⲓⲭⲱⲣⲟⲥ
ⲧⲏⲣⲥ	ⲧⲏⲣ|ⲥ
ⲛⲧⲉϯⲅⲁⲗⲓⲗⲉⲁ	ⲛⲧⲉ|ϯ|ⲅⲁⲗⲓⲗⲉⲁ
.	.
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲥⲁⲧⲟⲧⲟⲩ	ⲥⲁⲧⲟⲧⲟⲩ
ⲉⲧⲁⲩⲓ	ⲉⲧ|ⲁ|ⲩ|ⲓ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϧⲉⲛϯⲥⲩⲛⲁⲅⲱⲅⲏ	ϧⲉⲛ|ϯ|ⲥⲩⲛⲁⲅⲱⲅⲏ
ⲁⲩⲓ	ⲁ|ⲩ|ⲓ
ⲉϧⲟⲩⲛ	ⲉϧⲟⲩⲛ
ⲉⲡⲏⲓ	ⲉ|ⲡ|ⲏⲓ
ⲛⲥⲓⲙⲱⲛ	ⲛ|ⲥⲓⲙⲱⲛ
ⲛⲉⲙⲁⲛⲇⲣⲉⲁⲥ	ⲛⲉⲙ|ⲁⲛⲇⲣⲉⲁⲥ
ⲉⲣⲉⲓⲁⲕⲱⲃⲟⲥ	ⲉⲣⲉ|ⲓⲁⲕⲱⲃⲟⲥ
ⲛⲉⲛⲓⲱⲁⲛⲛⲏⲥ	ⲛⲉⲛ|ⲓⲱⲁⲛⲛⲏⲥ
ⲛⲉⲙⲱⲟⲩ	ⲛⲉⲙⲱ|ⲟⲩ
ⲧϣⲱⲙⲓ	ⲧ|ϣⲱⲙⲓ
ⲇⲉ	ⲇⲉ
ⲛⲥⲓⲙⲱⲛ	ⲛ|ⲥⲓⲙⲱⲛ
ⲛⲁⲥⲛⲕⲟⲧ	ⲛⲁ|ⲥ|ⲛⲕⲟⲧ
ⲡⲉ	ⲡⲉ
ⲉⲥϧⲏⲙ	ⲉ|ⲥ|ϧⲏⲙ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲥⲁⲧⲟⲧⲟⲩ	ⲥⲁⲧⲟⲧⲟⲩ
ⲁⲩϫⲟⲥ	ⲁ|ⲩ|ϫⲟ|ⲥ
ⲛⲁϥ	ⲛⲁ|ϥ
ⲉⲑⲃⲏⲧⲥ	ⲉⲑⲃⲏⲧ|ⲥ
.	.
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁϥⲓ	ⲁ|ϥ|ⲓ
ⲁϥⲧⲟⲩⲛⲟⲥⲥ	ⲁ|ϥ|ⲧⲟⲩⲛⲟⲥ|ⲥ
ⲉⲁϥⲁⲙⲟⲛⲓ	ⲉ|ⲁ|ϥ|ⲁⲙⲟⲛⲓ
ⲛⲧⲉⲥϫⲓϫ	ⲛ|ⲧⲉⲥ|ϫⲓϫ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁϥⲭⲁⲥ	ⲁ|ϥ|ⲭⲁ|ⲥ
ⲛϫⲉⲡⲓϧⲙⲟⲙ	ⲛϫⲉ|ⲡⲓ|ϧⲙⲟⲙ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲛⲁⲥϣⲉⲙϣⲓ	ⲛⲁ|ⲥ|ϣⲉⲙϣⲓ
ⲙⲙⲱⲟⲩ	ⲙⲙⲱ|ⲟⲩ
.	.
ⲉⲧⲁⲣⲟⲩϩⲓ	ⲉⲧ|ⲁ|ⲣⲟⲩϩⲓ
ⲇⲉ	ⲇⲉ
ϣⲱⲡⲓ	ϣⲱⲡⲓ
ϩⲟⲧⲉ	ϩⲟⲧⲉ
ⲉⲧⲁⲡⲣⲏ	ⲉⲧ|ⲁ|ⲡ|ⲣⲏ
ϩⲱⲧⲡ	ϩⲱⲧⲡ
ⲁⲩⲓⲛⲓ	ⲁ|ⲩ|ⲓⲛⲓ
ⲛⲁϥ	ⲛⲁ|ϥ
ⲛⲟⲩⲟⲛ	ⲛ|ⲟⲩⲟⲛ
ⲛⲓⲃⲉⲛ	ⲛⲓⲃⲉⲛ
ⲉⲧⲧϩⲉⲙⲕⲏⲟⲩⲧ	ⲉⲧ|ⲧϩⲉⲙⲕⲏⲟⲩⲧ
ⲛⲉⲙⲛⲏ	ⲛⲉⲙ|ⲛⲏ
ⲉⲧⲉⲛⲓⲇⲁⲓⲙⲱⲛ	ⲉⲧⲉ|ⲛⲓ|ⲇⲁⲓⲙⲱⲛ
ⲛⲉⲙⲱⲟⲩ	ⲛⲉⲙⲱ|ⲟⲩ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ϯⲃⲁⲕⲓ	ϯ|ⲃⲁⲕⲓ
ⲧⲏⲣⲥ	ⲧⲏⲣ|ⲥ
ⲁⲥⲑⲱⲟⲩϯ	ⲁ|ⲥ|ⲑⲱⲟⲩϯ
ϩⲓⲣⲉⲛⲡⲓⲣⲟ	ϩⲓⲣⲉⲛ|ⲡⲓ|ⲣⲟ
.	.
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁϥⲉⲣⲫⲁϧⲣⲓ	ⲁ|ϥ|ⲉⲣⲫⲁϧⲣⲓ
ⲉⲟⲩⲙⲏϣ	ⲉ|ⲟⲩ|ⲙⲏϣ
ⲉⲩⲧϩⲉⲙⲕⲏⲟⲩⲧ	ⲉ|ⲩ|ⲧϩⲉⲙⲕⲏⲟⲩⲧ
ϧⲉⲛⲟⲩⲙⲏϣ	ϧⲉⲛ|ⲟⲩ|ⲙⲏϣ
ⲛⲣⲏϯ	ⲛ|ⲣⲏϯ
ⲛϣⲱⲛⲓ	ⲛ|ϣⲱⲛⲓ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁϥϩⲓ	ⲁ|ϥ|ϩⲓ
ⲟⲩⲙⲏϣ	ⲟⲩ|ⲙⲏϣ
ⲛⲇⲁⲓⲙⲱⲛ	ⲛ|ⲇⲁⲓⲙⲱⲛ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲛⲁϥⲭⲱ	ⲛⲁ|ϥ|ⲭⲱ
ⲛⲛⲓⲇⲁⲓⲙⲱⲛ	ⲛ|ⲛⲓ|ⲇⲁⲓⲙⲱⲛ
ⲉⲥⲁϫⲓ	ⲉ|ⲥⲁϫⲓ
ⲁⲛ	ⲁⲛ
ⲡⲉ	ⲡⲉ
ϫⲉⲟⲩⲏⲓ	ϫⲉ|ⲟⲩⲏⲓ
ⲅⲁⲣ	ⲅⲁⲣ
ⲛⲁⲩⲥⲱⲟⲩⲛ	ⲛⲁ|ⲩ|ⲥⲱⲟⲩⲛ
ⲙⲙⲟϥ	ⲙⲙⲟ|ϥ
ⲁⲛ	ⲁⲛ
ⲡⲉ	ⲡⲉ
ϫⲉⲡⲭⲣⲓⲥⲧⲟⲥ	ϫⲉ|ⲡ|ⲭⲣⲓⲥⲧⲟⲥ
ⲡⲉ	ⲡⲉ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲉⲧⲁϥⲧⲱⲛϥ	ⲉⲧ|ⲁ|ϥ|ⲧⲱⲛ|ϥ
ⲛϩⲁⲛⲁⲧⲟⲟⲩⲓ	ⲛ|ϩⲁⲛⲁⲧⲟⲟⲩⲓ
ⲛϣⲟⲣⲡ	ⲛ|ϣⲟⲣⲡ
ⲉⲙⲁϣⲱ	ⲉⲙⲁϣⲱ
ⲁϥⲓ	ⲁ|ϥ|ⲓ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲉⲩⲙⲁ	ⲉ|ⲩ|ⲙⲁ
ⲛϣⲁϥⲉ	ⲛ|ϣⲁϥⲉ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲛⲁϥⲉⲣⲡⲣⲟⲥⲉⲩⲭⲉⲥⲑⲉ	ⲛⲁ|ϥ|ⲉⲣⲡⲣⲟⲥⲉⲩⲭⲉⲥⲑⲉ
ⲙⲙⲁⲩ	ⲙⲙⲁⲩ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲛⲁϥϭⲟϫⲓ	ⲛⲁ|ϥ|ϭⲟϫⲓ
ⲛⲥⲱϥ	ⲛⲥⲱ|ϥ
ⲛϫⲉⲥⲓⲙⲱⲛ	ⲛϫⲉ|ⲥⲓⲙⲱⲛ
ⲛⲉⲙⲛⲏ	ⲛⲉⲙ|ⲛⲏ
ⲉⲧⲛⲉⲙⲁϥ	ⲉⲧ|ⲛⲉⲙⲁ|ϥ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲉⲧⲁⲩϫⲉⲙϥ	ⲉⲧ|ⲁ|ⲩ|ϫⲉⲙ|ϥ
ⲡⲉϫⲱⲟⲩ	ⲡⲉϫⲱ|ⲟⲩ
ⲛⲁϥ	ⲛⲁ|ϥ
ϫⲉⲥⲉⲕⲱϯ	ϫⲉ|ⲥⲉ|ⲕⲱϯ
ⲛⲥⲱⲕ	ⲛⲥⲱ|ⲕ
ⲧⲏⲣⲟⲩ	ⲧⲏⲣ|ⲟⲩ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲡⲉϫⲁϥ	ⲡⲉϫⲁ|ϥ
ⲛⲱⲟⲩ	ⲛⲱ|ⲟⲩ
ϫⲉⲙⲁⲣⲟⲛ	ϫⲉ|ⲙⲁⲣⲟ|ⲛ
ⲉⲕⲉⲙⲁ	ⲉ|ⲕⲉ|ⲙⲁ
ⲉⲛⲓⲕⲱⲙⲟⲡⲟⲗⲓⲥ	ⲉ|ⲛⲓ|ⲕⲱⲙⲟⲡⲟⲗⲓⲥ
ⲉⲧϧⲉⲛⲧ	ⲉⲧ|ϧⲉⲛⲧ
ⲉⲣⲟⲛ	ⲉⲣⲟ|ⲛ
ϩⲓⲛⲁ	ϩⲓⲛⲁ
ⲛⲧⲉⲛϩⲓⲱⲓϣ	ⲛⲧⲉ|ⲛ|ϩⲓ|ⲱⲓϣ
ⲙⲙⲁⲩ	ⲙⲙⲁⲩ
ϩⲱϥ	ϩⲱ|ϥ
ⲉⲧⲁⲓⲓ	ⲉⲧ|ⲁ|ⲓ|ⲓ
ⲅⲁⲣ	ⲅⲁⲣ
ⲉⲡⲁⲓϩⲱⲃ	ⲉ|ⲡⲁⲓ|ϩⲱⲃ
.	.
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁϥⲓ	ⲁ|ϥ|ⲓ
ⲉϩⲓⲱⲓϣ	ⲉ|ϩⲓ|ⲱⲓϣ
ϧⲉⲛⲛⲟⲩⲥⲩⲛⲁⲅⲱⲅⲏ	ϧⲉⲛ|ⲛⲟⲩ|ⲥⲩⲛⲁⲅⲱⲅⲏ
ϧⲉⲛϯⲅⲁⲗⲓⲗⲉⲁ	ϧⲉⲛ|ϯ|ⲅⲁⲗⲓⲗⲉⲁ
ⲧⲏⲣⲥ	ⲧⲏⲣ|ⲥ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲛⲓⲇⲁⲓⲙⲱⲛ	ⲛⲓ|ⲇⲁⲓⲙⲱⲛ
ⲉϥϩⲓⲟⲩⲓ	ⲉ|ϥ|ϩⲓⲟⲩⲓ
ⲙⲙⲱⲟⲩ	ⲙⲙⲱ|ⲟⲩ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁϥⲓ	ⲁ|ϥ|ⲓ
ϩⲁⲣⲟϥ	ϩⲁⲣⲟ|ϥ
ⲛϫⲉⲟⲩⲕⲁⲕⲥⲉϩⲧ	ⲛϫⲉ|ⲟⲩ|ⲕⲁⲕⲥⲉϩⲧ
ⲉϥϯϩⲟ	ⲉ|ϥ|ϯϩⲟ
ⲉⲣⲟϥ	ⲉⲣⲟ|ϥ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲉϥϩⲓⲟⲩⲓ	ⲉ|ϥ|ϩⲓⲟⲩⲓ
ⲙⲙⲟϥ	ⲙⲙⲟ|ϥ
ⲉϫⲉⲛⲛⲉϥⲕⲉⲗⲓ	ⲉϫⲉⲛ|ⲛⲉϥ|ⲕⲉⲗⲓ
ⲉϥϫⲱ	ⲉ|ϥ|ϫⲱ
ⲙⲙⲟⲥ	ⲙⲙⲟ|ⲥ
ϫⲉⲉϣⲱⲡ	ϫⲉ|ⲉϣⲱⲡ
ⲛⲧⲉⲕⲟⲩⲱϣ	ⲛⲧⲉ|ⲕ|ⲟⲩⲱϣ
ⲟⲩⲟⲛϣϫⲟⲙ	ⲟⲩⲟⲛ|ϣ|ϫⲟⲙ
ⲙⲙⲟⲕ	ⲙⲙⲟ|ⲕ
ⲉⲧⲟⲩⲃⲟⲓ	ⲉ|ⲧⲟⲩⲃⲟ|ⲓ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁϥϣⲉⲛϩⲏⲧ	ⲁ|ϥ|ϣⲉⲛϩⲏⲧ
ϧⲁⲣⲟϥ	ϧⲁⲣⲟ|ϥ
ⲁϥⲥⲟⲩⲧⲉⲛ	ⲁ|ϥ|ⲥⲟⲩⲧⲉⲛ
ⲧⲉϥϫⲓϫ	ⲧⲉϥ|ϫⲓϫ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲁϥϭⲓ	ⲁ|ϥ|ϭⲓ
ⲛⲉⲙⲁϥ	ⲛⲉⲙⲁ|ϥ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲡⲉϫⲁϥ	ⲡⲉϫⲁ|ϥ
ⲛⲁϥ	ⲛⲁ|ϥ
ϫⲉϯⲟⲩⲱϣ	ϫⲉ|ϯ|ⲟⲩⲱϣ
ⲙⲁⲧⲟⲩⲃⲟ	ⲙⲁⲧⲟⲩⲃⲟ
.	.
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲥⲁⲧⲟⲧϥ	ⲥⲁⲧⲟⲧϥ
ⲁⲡⲓⲥⲉϩⲧ	ⲁ|ⲡⲓ|ⲥⲉϩⲧ
ϣⲉ	ϣⲉ
ⲛⲁϥ	ⲛⲁ|ϥ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϩⲓⲱⲧϥ	ϩⲓⲱⲧ|ϥ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁϥⲧⲟⲩⲃⲟ	ⲁ|ϥ|ⲧⲟⲩⲃⲟ
.	.
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲉⲧⲁϥⲥⲣⲉⲙⲣⲱⲙϥ	ⲉⲧ|ⲁ|ϥ|ⲥⲣⲉⲙⲣⲱⲙ|ϥ
ⲉϧⲟⲩⲛ	ⲉϧⲟⲩⲛ
ⲉⲣⲟϥ	ⲉⲣⲟ|ϥ
ⲥⲁⲧⲟⲧϥ	ⲥⲁⲧⲟⲧϥ
ⲁϥϩⲓⲧϥ	ⲁ|ϥ|ϩⲓⲧ|ϥ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲡⲉϫⲁϥ	ⲡⲉϫⲁ|ϥ
ⲛⲁϥ	ⲛⲁ|ϥ
ϫⲉⲁⲛⲁⲩ	ϫⲉ|ⲁⲛⲁⲩ
ⲙⲡⲣⲧⲁⲙⲉ	ⲙⲡⲣ|ⲧⲁⲙⲉ
ϩⲗⲓ	ϩⲗⲓ
ⲁⲗⲗⲁ	ⲁⲗⲗⲁ
ⲙⲁϣⲉ	ⲙⲁϣⲉ
ⲛⲁⲕ	ⲛⲁ|ⲕ
ⲙⲁⲧⲁⲙⲉⲡⲓⲟⲩⲏⲃ	ⲙⲁⲧⲁⲙⲉ|ⲡⲓ|ⲟⲩⲏⲃ
ⲉⲣⲟⲕ	ⲉⲣⲟ|ⲕ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁⲛⲓⲟⲩⲓ	ⲁⲛⲓ|ⲟⲩⲓ
ⲙⲡⲓⲇⲱⲣⲟⲛ	ⲙ|ⲡⲓ|ⲇⲱⲣⲟⲛ
ⲉϧⲟⲩⲛ	ⲉϧⲟⲩⲛ
ⲉϫⲉⲛⲡⲉⲕⲧⲟⲩⲃⲟ	ⲉϫⲉⲛ|ⲡⲉⲕ|ⲧⲟⲩⲃⲟ
ⲫⲏ	ⲫⲏ
ⲉⲧⲁⲙⲱⲩⲥⲏⲥ	ⲉⲧ|ⲁ|ⲙⲱⲩⲥⲏⲥ
ⲟⲩⲁϩⲥⲁϩⲛⲓ	ⲟⲩⲁϩⲥⲁϩⲛⲓ
ⲙⲙⲟϥ	ⲙⲙⲟ|ϥ
ⲉⲩⲙⲉⲧⲙⲉⲑⲣⲉ	ⲉ|ⲩ|ⲙⲉⲧⲙⲉⲑⲣⲉ
ⲛⲱⲟⲩ	ⲛⲱ|ⲟⲩ
.	.
ⲛⲑⲟϥ	ⲛⲑⲟϥ
ⲇⲉ	ⲇⲉ
ⲉⲧⲁϥⲓ	ⲉⲧ|ⲁ|ϥ|ⲓ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲁϥⲉⲣϩⲏⲧⲥ	ⲁ|ϥ|ⲉⲣϩⲏⲧ|ⲥ
ⲛϩⲓⲱⲓϣ	ⲛ|ϩⲓⲱⲓϣ
ⲛⲟⲩⲙⲏϣ	ⲛ|ⲟⲩ|ⲙⲏϣ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲉⲥⲉⲣⲡⲉϥⲥⲁϫⲓ	ⲉ|ⲥ|ⲉⲣ|ⲡⲉϥ|ⲥⲁϫⲓ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϩⲱⲥⲧⲉ	ϩⲱⲥⲧⲉ
ⲛⲧⲉϥϣⲧⲉⲙϣϫⲉⲙϫⲟⲙ	ⲛⲧⲉ|ϥ|ϣⲧⲉⲙ|ϣ|ϫⲉⲙϫⲟⲙ
ⲉⲓ	ⲉⲓ
ⲉϧⲟⲩⲛ	ⲉϧⲟⲩⲛ
ⲉⲃⲁⲕⲓ	ⲉ|ⲃⲁⲕⲓ
ⲛⲟⲩⲱⲛϩ	ⲛ|ⲟⲩⲱⲛϩ
ⲁⲗⲗⲁ	ⲁⲗⲗⲁ
ⲛⲁϥϣⲟⲡ	ⲛⲁ|ϥ|ϣⲟⲡ
ⲡⲉ	ⲡⲉ
ϧⲉⲛϩⲁⲛⲙⲱⲓⲧ	ϧⲉⲛ|ϩⲁⲛ|ⲙⲱⲓⲧ
ⲛϣⲁϥⲉ	ⲛ|ϣⲁϥⲉ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲛⲁⲩⲛⲏⲟⲩ	ⲛⲁ|ⲩ|ⲛⲏⲟⲩ
ϩⲁⲣⲟϥ	ϩⲁⲣⲟ|ϥ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϧⲉⲛⲙⲁⲓ	ϧⲉⲛ|ⲙⲁⲓ
ⲛⲓⲃⲉⲛ	ⲛⲓⲃⲉⲛ
.	.
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁϥⲓ	ⲁ|ϥ|ⲓ
ⲟⲛ	ⲟⲛ
ⲉϧⲟⲩⲛ	ⲉϧⲟⲩⲛ
ⲉⲕⲁⲫⲁⲣⲛⲁⲟⲩⲙ	ⲉ|ⲕⲁⲫⲁⲣⲛⲁⲟⲩⲙ
ⲙⲉⲛⲉⲛⲥⲁϩⲁⲛⲉϩⲟⲟⲩ	ⲙⲉⲛⲉⲛⲥⲁ|ϩⲁⲛ|ⲉϩⲟⲟⲩ
ⲁⲩⲥⲱⲧⲉⲙ	ⲁ|ⲩ|ⲥⲱⲧⲉⲙ
ϫⲉϥⲛϧⲟⲩⲛ	ϫⲉ|ϥ|ⲛϧⲟⲩⲛ
ϧⲉⲛⲟⲩⲏⲓ	ϧⲉⲛ|ⲟⲩ|ⲏⲓ
.	.
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁⲟⲩⲙⲏϣ	ⲁ|ⲟⲩ|ⲙⲏϣ
ⲑⲱⲟⲩϯ	ⲑⲱⲟⲩϯ
ⲙⲙⲁⲩ	ⲙⲙⲁⲩ
ϩⲱⲥⲧⲉ	ϩⲱⲥⲧⲉ
ⲛⲧⲉϣⲧⲉⲙⲡⲓⲏⲓ	ⲛⲧⲉ|ϣⲧⲉⲙ|ⲡⲓ|ⲏⲓ
ⲱⲗⲓ	ⲱⲗⲓ
ϫⲉⲟⲩⲇⲉ	ϫⲉ|ⲟⲩⲇⲉ
ϩⲓⲣⲉⲛⲡⲓⲣⲟ	ϩⲓⲣⲉⲛ|ⲡⲓ|ⲣⲟ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁϥⲥⲁϫⲓ	ⲁ|ϥ|ⲥⲁϫⲓ
ⲛⲉⲙⲱⲟⲩ	ⲛⲉⲙⲱ|ⲟⲩ
ⲙⲡⲓⲥⲁϫⲓ	ⲙ|ⲡⲓ|ⲥⲁϫⲓ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁⲩⲓⲛⲓ	ⲁ|ⲩ|ⲓⲛⲓ
ⲛⲁϥ	ⲛⲁ|ϥ
ⲛⲟⲩⲁⲓ	ⲛ|ⲟⲩⲁⲓ
ⲉϥϣⲏⲗ	ⲉ|ϥ|ϣⲏⲗ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲉⲩϥⲁⲓ	ⲉ|ⲩ|ϥⲁⲓ
ⲙⲙⲟϥ	ⲙⲙⲟ|ϥ
ⲛϫⲉⲇ	ⲛϫⲉ|ⲇ
ⲛⲣⲱⲙⲓ	ⲛ|ⲣⲱⲙⲓ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲉⲧⲉⲙⲡⲟⲩϣϫⲉⲙϫⲟⲙ	ⲉⲧⲉ|ⲙⲡ|ⲟⲩ|ϣϫⲉⲙϫⲟⲙ
ⲛⲉⲛϥ	ⲛ|ⲉⲛ|ϥ
ⲉϧⲟⲩⲛ	ⲉϧⲟⲩⲛ
ⲉⲑⲃⲉⲡⲓⲙⲏϣ	ⲉⲑⲃⲉ|ⲡⲓ|ⲙⲏϣ
ⲁⲩϣⲉ	ⲁ|ⲩ|ϣⲉ
ⲛⲱⲟⲩ	ⲛⲱ|ⲟⲩ
ⲉϫⲉⲛⲡϫⲉⲛⲉⲫⲱⲣ	ⲉϫⲉⲛ|ⲡ|ϫⲉⲛⲉⲫⲱⲣ
ⲁⲩϭⲱⲣⲡ	ⲁ|ⲩ|ϭⲱⲣⲡ
ⲛϯⲟⲩⲁϩⲥⲟⲓ	ⲛ|ϯ|ⲟⲩⲁϩⲥⲟⲓ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲛⲧⲉⲡⲓⲏⲓ	ⲛⲧⲉ|ⲡⲓ|ⲏⲓ
ⲉⲛⲁⲩⲭⲏ	ⲉ|ⲛⲁ|ⲩ|ⲭⲏ
ⲛϧⲏⲧϥ	ⲛϧⲏⲧ|ϥ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲉⲧⲁⲩϣⲱⲕⲓ	ⲉⲧ|ⲁ|ⲩ|ϣⲱⲕⲓ
ⲁⲩⲭⲱ	ⲁ|ⲩ|ⲭⲱ
ⲙⲡⲓϭⲗⲟϫ	ⲙ|ⲡⲓ|ϭⲗⲟϫ
ⲉⲡⲉⲥⲏⲧ	ⲉ|ⲡ|ⲉⲥⲏⲧ
ⲉⲧⲉⲫⲏ	ⲉⲧⲉ|ⲫⲏ
ⲉⲧϣⲏⲗ	ⲉⲧ|ϣⲏⲗ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲛⲕⲟⲧ	ⲛⲕⲟⲧ
ϩⲓⲱⲧϥ	ϩⲓⲱⲧ|ϥ
.	.
ⲟⲩⲟϩ	ⲟⲩⲟϩ
